Artist,Songs,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
the raconteurs,7,rock,alternative rock,alternative,indie rock,seen live
the rasmus,1,rock,alternative rock,finnish,alternative,seen live
the raven age,3,seen live,melodic metal,metalcore,metal,alternative metal
the raveonettes,1,indie,indie rock,seen live,danish,alternative
the red jumpsuit apparatus,1,alternative,emo,rock,pop punk,screamo
the regrettes,4,seen live,female vocalist,pop rock,punk rock,pop punk
the rolling stones,6,classic rock,rock,british,60s,blues
the sidh,1,electronic,rock,italian,celtic,Celtic Modern Music
the score,2,freakbeat,mod,rock,alternative,60s Psychedelic
the shelters,1,indie rock,indie,blues rock,Southern Rock,indiepop
the smashing pumpkins,2,alternative rock,rock,alternative,Grunge,90s
the sore losers,1,seen live,rock,belgian,Belgium,blues
the spinners,1,soul,motown,funk,70s,oldies
the starting line,1,pop punk,emo,seen live,rock,alternative
the steve miller band,1,rock,classic rock,70s,Psychedelic Rock,60s
the stone roses,1,britpop,indie,madchester,rock,alternative
the stray cats,1,rockabilly,rock,blues,garage,rock n roll
the strokes,4,indie rock,rock,indie,alternative,alternative rock
the struts,4,rock,seen live,british,glam rock,indie
the subways,2,indie rock,indie,seen live,british,rock
the sword,1,doom metal,stoner metal,Stoner Rock,heavy metal,metal
the temperance movement,1,rock,blues rock,seen live,hard rock,classic rock
the temptations,2,soul,motown,funk,oldies,rnb
the toadies,1,rock,toadies,,,
the turtles,1,60s,classic rock,rock,oldies,pop
the undertones,1,punk,punk rock,new wave,irish,rock
the used,2,emo,screamo,rock,alternative,seen live
the veer union,1,alternative rock,hard rock,rock,modern rock,alternative
the vines,5,rock,indie,indie rock,alternative,alternative rock
the vintage caravan,1,Stoner Rock,hard rock,seen live,classic rock,icelandic
the von bondies,1,Garage Rock,indie,indie rock,rock,alternative
the warning,1,hard rock,rock,mexico,hardcore punk,streetpunk
the weeknd,1,rnb,electronic,dubstep,canada,prog-rnb
the whispers,2,soul,funk,Disco,80s,pop
the white stripes,20,rock,alternative,alternative rock,indie,indie rock
the who,15,classic rock,rock,british,60s,hard rock
the wild!,1,hard rock,canada,rock-hard,,
the wombats,2,indie,seen live,british,indie rock,britpop
the zasters,1,indie,indie rock,brazil,,
theme song,7,accidently awesome,,,,
theory of a deadman,1,rock,alternative rock,post-grunge,hard rock,alternative
these grey men,2,metal,rock,alternative rock,hard rock,alternative metal
thousand below,1,post-hardcore,metalcore,alternative rock,hardcore,american
thousand foot krutch,5,alternative rock,christian rock,rock,alternative,christian
three days grace,18,alternative rock,rock,alternative,hard rock,metal
thrice,5,post-hardcore,rock,seen live,emo,hardcore
tihuana,5,rock,brazil,brazil,hardcore,brazil
tim maia,2,soul,mpb,funk,brazil,brazil
tinariwen,1,african,world,mali,blues,World Music
titãs,1,rock,brazil,rock brasileiro,80s,brazil
todd barriage,1,alternative,hardcore,pop rock,acoustic,canada
tokio hotel,1,rock,german,gay,pop rock,female vocalist
tom morello,1,rock,great guitarists,alternative,guitarists,seen live
tom petty,2,classic rock,rock,singer-songwriter,80s,folk
tommaso paradiso,1,pop,singer-songwriter,pop rock,italian,Italy
tool,10,Progressive metal,Progressive rock,metal,alternative,rock
toothgrinder,1,Progressive metal,mathcore,hardcore,experimental,metalcore
toy dolls,1,punk,punk rock,british,ska,punk'n'roll
train,1,rock,alternative rock,alternative,pop,indie
transplants,1,punk,punk rock,alternative,rock,rap
trapdoor social,3,indie,under 2000 listeners,seen live,alternative rock,Awesome
trapt,1,rock,alternative rock,alternative,hard rock,post-grunge
trela,2,rock,rap,hiphop,cpm22,charlie brown jr
tremonti,1,alternative metal,hard rock,metal,thrash metal,speed metal
trivium,2,metalcore,thrash metal,metal,seen live,heavy metal
trust,2,synthpop,electronic,hard rock,french,darkwave
trust company,1,alternative rock,Nu Metal,alternative,rock,alternative metal
turisas,1,folk metal,viking metal,battle metal,seen live,finnish
turnover,1,pop punk,emo,dream pop,indie,indie rock
twelve foot ninja,2,alternative metal,experimental,Progressive metal,alternative rock,funk
twenty one two,2,pop punk,covers,alternative rock,pop rock,rock
twin pumpkin,5,indie,rock,indie rock,brazil,rock contemporaneo
twisted sister,2,hard rock,heavy metal,Glam Metal,80s,rock
two door cinema club,1,indie,electronic,british,alternative,seen live
two feet,2,indie,blues rock,electronic,american,alternative
týr,1,folk metal,viking metal,Progressive metal,pagan metal,seen live
u2,7,rock,classic rock,irish,pop,alternative
ugly kid joe,2,hard rock,rock,alternative rock,90s,metal
underoath,2,screamo,post-hardcore,hardcore,metalcore,seen live
unprocessed,1,Progressive metal,DJENT,german,metalcore,seen live
vampire weekend,3,indie,indie rock,indie pop,seen live,alternative
van halen,10,hard rock,classic rock,rock,80s,heavy metal
vance joy,1,folk,indie,singer-songwriter,australian,acoustic
vasco da gama,1,heavy metal,alt rock,portuguese metal,rock,alternative
velvet revolver,4,hard rock,rock,alternative rock,seen live,alternative
vespas mandarinas,4,rock,brazil,indie,alternative,brazil
vesuvius,2,hard rock,rock,80s,classic rock,metal
viagra boys,2,post-punk,Crank wave,egg punk,dance-punk,seen live
vikings,2,heavy metal,hardcore,hard rock,old school,dutch
village people,1,Disco,pop,70s,80s,gay
violent new breed,1,rock,metalcore,punk,punk rock,horror punk
violet soda,8,rock,Grunge,brazil,alternative rock,brazil
vivendo do ócio,3,indie,brazil,indie rock,rock,alternative
volbeat,14,seen live,heavy metal,metal,rockabilly,elvis metal
vundabar,1,indie rock,surf rock,Garage Rock,boston,indie
war,1,funk,soul,black metal,classic rock,rock
warlock,1,heavy metal,hard rock,Female fronted metal,metal,german
warrant,2,hard rock,Glam Metal,80s,heavy metal,rock
waterparks,3,pop punk,seen live,rock,pop rock,pop
we are harlot,1,hard rock,rock,seen live,alternative rock,alternative
we the kings,3,pop punk,Power pop,alternative,pop rock,seen live
weezer,6,rock,alternative,alternative rock,indie,indie rock
weighbridge,1,australian,post-hardcore,metalcore,Easycore,
weird al yankovic,3,comedy,parody,fucking amazing,humour,80s
wham,1,80s,pop,oldies,rock,christmas
wheatus,1,rock,alternative,alternative rock,pop,indie
while she sleeps,12,metalcore,melodic hardcore,hardcore,melodic metalcore,seen live
whiplash,3,thrash metal,speed metal,heavy metal,thrash,metal
white reaper,1,Garage Punk,Garage Rock,punk rock,seen live,punk
whitesnake,2,hard rock,classic rock,rock,80s,Glam Metal
wild cherry,1,funk,Disco,70s,soul,rock
wildstreet,1,hard rock,sleaze rock,glam rock,Glam Metal,new york
wind rose,1,Power metal,Progressive metal,folk metal,symphonic metal,seen live
within temptation,2,symphonic metal,Gothic Metal,Female fronted metal,metal,Gothic
wolfmother,11,rock,hard rock,Stoner Rock,seen live,australian
written by wolves,1,alternative rock,New Zealand,rock,industrial rock,modern rock
x ambassadors,1,indie,pop,seen live,electronic,indie pop
yellowcard,2,punk rock,rock,pop punk,punk,emo
yerba brava,1,cumbia,Cumbia villera,southern elite circle,argentinian black metal,yerba brava
yngwie malmsteen,1,guitar virtuoso,heavy metal,Power metal,metal,guitar
yonaka,6,indie rock,rock,alternative rock,british,pop rock
you me at six,3,pop punk,rock,seen live,pop rock,Power pop
young guns,1,alternative rock,rock,seen live,post-hardcore,alternative
young the giant,1,indie rock,indie,rock,american,seen live
youngblood hawke,1,indie,indie pop,electronic,pop,alternative
younger hunger,1,alternative,indie pop,indie rock,american,american
your broken hero,1,emo,pop punk,post-hardcore,emo punk,rock
youth,1,dub,ambient,psytrance,downtempo,psychill
yungblud,2,indie rock,indie,british,rock,alternative
zsk,1,punk,punk rock,seen live,skatepunk,deutschpunk
zz top,4,classic rock,blues rock,rock,Southern Rock,hard rock
zac brown band,1,country,modern country,zac brown band,Southern Country,Country Favorites
zander,3,hardcore,brazil,melodic hardcore,seen live,alternative
zebrahead,10,punk rock,punk,pop punk,rapcore,rock
zimbra,2,alternative,rock,brazil,brazil,indie
[spunge],2,ska,ska punk,punk,seen live,punk rock
jxdn,2,seen live,rock,pop punk,emo rap,american
qbo,1,Nu Metal,metal,rock,mexican,alternative
ария,1,heavy metal,russian,russian,metal,rock
би-2,1,russian,rock,russian,pop rock,alternative
звери,1,russian,pop rock,russian,pop rock,pop
земфира,1,russian,russian,rock,female vocalist,Zemfira
калевала,2,folk metal,russian,pagan metal,Russian Folk Metal,folk
король и шут,1,punk rock,russian,punk,russian,rock
любэ,1,russian,russian,rock,folk,lube
мастер,1,thrash metal,heavy metal,russian,russian metal,metal
мураками,1,rock,russian,female vocalist,female vocal,kazan
муслим магомаев,1,Retro,Soviet,russian,60s,jazz
океан ельзи,1,Ukrainian,rock,ukrainian rock,pop rock,indie
отава ё,1,folk,folk rock,russian,Russia,seen live
папин олимпос,1,indie,govno,electronic,pop,punk
полматери,2,black metal,russian,industrial jungle pussy punk,govno,mollycore
пасош,1,Lo-Fi,russian,punk,seen live,post-punk
порнофильмы,1,punk rock,punk,russian,Grunge,pop punk
слот,1,alternative,russian alternative,russian,Nu-metal,rapcore
элизиум,1,ska punk,ska,russian,ska-punk,punk
††† (crosses),1,electronic,alternative,experimental,ambient,Deftones
